Epoch: [6][95/157]	Time 1.218	ELBO 6.95150e+05	 MSE: 1.8939e+02	 MSM: 0.0000e+00
Epoch: [6][100/157]	Time 1.298	ELBO 6.72944e+05	 MSE: 2.1161e+02	 MSM: 0.0000e+00
Epoch: [6][105/157]	Time 1.308	ELBO 7.32514e+05	 MSE: 1.5204e+02	 MSM: 0.0000e+00
Epoch: [6][110/157]	Time 1.273	ELBO 7.37918e+05	 MSE: 1.4662e+02	 MSM: 0.0000e+00
Epoch: [6][115/157]	Time 1.197	ELBO 7.19794e+05	 MSE: 1.6474e+02	 MSM: 0.0000e+00
Epoch: [6][120/157]	Time 1.196	ELBO 7.28086e+05	 MSE: 1.5645e+02	 MSM: 0.0000e+00
Epoch: [6][125/157]	Time 1.204	ELBO 7.36687e+05	 MSE: 1.4785e+02	 MSM: 0.0000e+00
Epoch: [6][130/157]	Time 1.201	ELBO 7.36734e+05	 MSE: 1.4781e+02	 MSM: 0.0000e+00
Epoch: [6][135/157]	Time 1.264	ELBO 7.58416e+05	 MSE: 1.2611e+02	 MSM: 0.0000e+00
Epoch: [6][140/157]	Time 1.283	ELBO 7.43842e+05	 MSE: 1.4069e+02	 MSM: 0.0000e+00
Epoch: [6][145/157]	Time 1.294	ELBO 7.44282e+05	 MSE: 1.4025e+02	 MSM: 0.0000e+00
Epoch: [6][150/157]	Time 1.208	ELBO 7.49552e+05	 MSE: 1.3498e+02	 MSM: 0.0000e+00
Epoch: [6][155/157]	Time 1.213	ELBO 7.54352e+05	 MSE: 1.3018e+02	 MSM: 0.0000e+00
tensor([[0.3333, 0.3333, 0.3333],
        [0.3333, 0.3333, 0.3333],
        [0.3333, 0.3333, 0.3333]], device='cuda:0')
tensor([0.3333, 0.3333, 0.3333], device='cuda:0')
6.339909851088496
Epoch: [7][5/157]	Time 1.195	ELBO 7.49211e+05	 MSE: 1.3533e+02	 MSM: 0.0000e+00
Epoch: [7][10/157]	Time 1.214	ELBO 7.53120e+05	 MSE: 1.3141e+02	 MSM: 0.0000e+00
Epoch: [7][15/157]	Time 1.188	ELBO 7.45923e+05	 MSE: 1.3861e+02	 MSM: 0.0000e+00
Epoch: [7][20/157]	Time 1.206	ELBO 7.42522e+05	 MSE: 1.4200e+02	 MSM: 0.0000e+00
